omega,Re_B,Im_B,Re_C,Im_C
0.001,0.5839317503,-4.36274278e-05,3.578854428,5.507915105e-05
0.02119191919,0.5839320044,-0.0009245488493,3.578853986,0.001167232724
0.04138383838,0.5839327215,-0.00180546986,3.57885274,0.002279385233
0.06157575758,0.5839339013,-0.002686390069,3.57885069,0.003391535666
0.08176767677,0.5839355438,-0.003567309083,3.578847836,0.00450368301
0.101959596,0.5839376489,-0.004448226514,3.578844178,0.005615826253
0.1221515152,0.5839402166,-0.005329141969,3.578839716,0.00672796438
0.1423434343,0.5839432472,-0.006210055055,3.578834449,0.00784009638
0.1625353535,0.5839467406,-0.007090965382,3.578828379,0.008952221239
0.1827272727,0.5839506965,-0.007971872559,3.578821505,0.01006433794
0.2029191919,0.5839551152,-0.008852776197,3.578813826,0.01117644548
0.2231111111,0.5839599966,-0.009733675897,3.578805344,0.01228854284
0.2433030303,0.5839653408,-0.01061457127,3.578796057,0.01340062901
0.2634949495,0.5839711476,-0.01149546194,3.578785967,0.01451270298
0.2836868687,0.5839774169,-0.01237634749,3.578775073,0.01562476373
0.3038787879,0.5839841493,-0.01325722755,3.578763375,0.01673681024
0.3240707071,0.5839913439,-0.01413810172,3.578750873,0.01784884152
0.3442626263,0.5839990014,-0.0150189696,3.578737567,0.01896085654
0.3644545455,0.5840071214,-0.01589983082,3.578723457,0.0200728543
0.3846464646,0.5840157043,-0.01678068497,3.578708544,0.02118483378
0.4048383838,0.5840247496,-0.01766153166,3.578692826,0.02229679397
0.425030303,0.5840342577,-0.01854237051,3.578676305,0.02340873385
0.4452222222,0.5840442283,-0.01942320113,3.578658981,0.02452065243
0.4654141414,0.5840546615,-0.02030402311,3.578640853,0.02563254867
0.4856060606,0.5840655574,-0.02118483607,3.578621921,0.02674442158
0.5057979798,0.5840769157,-0.02206563963,3.578602186,0.02785627014
0.525989899,0.5840887368,-0.02294643339,3.578581647,0.02896809334
0.5461818182,0.5841010202,-0.02382721695,3.578560305,0.03007989016
0.5663737374,0.5841137665,-0.02470798991,3.578538159,0.03119165961
0.5865656566,0.584126975,-0.02558875192,3.57851521,0.03230340066
0.6067575758,0.5841406462,-0.02646950255,3.578491458,0.0334151123
0.6269494949,0.5841547799,-0.02735024143,3.578466903,0.03452679353
0.6471414141,0.584169376,-0.02823096817,3.578441544,0.03563844334
0.6673333333,0.5841844347,-0.02911168235,3.578415383,0.03675006071
0.6875252525,0.5841999557,-0.02999238362,3.578388418,0.03786164463
0.7077171717,0.5842159393,-0.03087307156,3.578360651,0.0389731941
0.7279090909,0.5842323852,-0.03175374579,3.57833208,0.0400847081
0.7481010101,0.5842492935,-0.03263440591,3.578302707,0.04119618562
0.7682929293,0.5842666644,-0.03351505155,3.578272531,0.04230762566
0.7884848485,0.5842844975,-0.03439568227,3.578241552,0.04341902721
0.8086767677,0.5843027931,-0.03527629775,3.578209771,0.04453038925
0.8288686869,0.5843215509,-0.03615689756,3.578177187,0.04564171078
0.8490606061,0.584340771,-0.03703748131,3.578143801,0.04675299079
0.8692525253,0.5843604536,-0.03791804861,3.578109612,0.04786422827
0.8894444444,0.5843805983,-0.03879859906,3.578074621,0.04897542221
0.9096363636,0.5844012053,-0.0396791323,3.578038828,0.0500865716
0.9298282828,0.5844222745,-0.04055964792,3.578002233,0.05119767545
0.950020202,0.5844438061,-0.04144014552,3.577964836,0.05230873273
0.9702121212,0.5844657996,-0.04232062474,3.577926637,0.05341974244
0.9904040404,0.5844882554,-0.04320108515,3.577887636,0.05453070358
1.01059596,0.5845111733,-0.04408152639,3.577847833,0.05564161514
1.030787879,0.5845345536,-0.04496194803,3.577807229,0.05675247611
1.050979798,0.5845583956,-0.04584234975,3.577765823,0.05786328548
1.071171717,0.5845827,-0.04672273109,3.577723615,0.05897404226
1.091363636,0.5846074663,-0.0476030917,3.577680607,0.06008474543
1.111555556,0.5846326946,-0.04848343117,3.577636797,0.06119539398
1.131747475,0.584658385,-0.04936374911,3.577592186,0.06230598692
1.151939394,0.5846845374,-0.05024404513,3.577546774,0.06341652324
1.172131313,0.5847111517,-0.05112431887,3.577500561,0.06452700193
1.192323232,0.5847382279,-0.05200456991,3.577453547,0.06563742199
1.212515152,0.5847657659,-0.05288479789,3.577405732,0.06674778242
1.232707071,0.5847937659,-0.05376500234,3.577357117,0.06785808221
1.25289899,0.5848222276,-0.05464518299,3.577307702,0.06896832036
1.273090909,0.5848511512,-0.05552533935,3.577257486,0.07007849586
1.293282828,0.5848805367,-0.05640547106,3.57720647,0.07118860772
1.313474747,0.5849103836,-0.05728557776,3.577154654,0.07229865493
1.333666667,0.5849406925,-0.05816565902,3.577102038,0.07340863649
1.353858586,0.5849714631,-0.05904571447,3.577048622,0.07451855139
1.374050505,0.5850026952,-0.05992574373,3.576994406,0.07562839864
1.394242424,0.5850343888,-0.0608057464,3.576939391,0.07673817723
1.414434343,0.5850665443,-0.06168572207,3.576883576,0.07784788617
1.434626263,0.5850991614,-0.06256567038,3.576826963,0.07895752445
1.454818182,0.5851322398,-0.06344559093,3.576769549,0.08006709108
1.475010101,0.5851657796,-0.06432548333,3.576711337,0.08117658504
1.49520202,0.5851997809,-0.06520534722,3.576652326,0.08228600536
1.515393939,0.5852342437,-0.06608518214,3.576592517,0.08339535102
1.535585859,0.5852691679,-0.06696498776,3.576531908,0.08450462103
1.555777778,0.5853045535,-0.06784476368,3.576470502,0.08561381439
1.575969697,0.5853404002,-0.06872450954,3.576408296,0.0867229301
1.596161616,0.5853767084,-0.06960422483,3.576345293,0.08783196717
1.616353535,0.5854134777,-0.0704839093,3.576281492,0.08894092459
1.636545455,0.5854507082,-0.07136356252,3.576216893,0.09004980138
1.656737374,0.5854884,-0.07224318406,3.576151496,0.09115859653
1.676929293,0.5855265527,-0.07312277359,3.576085302,0.09226730906
1.697121212,0.5855651666,-0.07400233066,3.57601831,0.09337593795
1.717313131,0.5856042417,-0.07488185494,3.575950521,0.09448448223
1.737505051,0.5856437776,-0.07576134601,3.575881935,0.0955929409
1.75769697,0.5856837744,-0.07664080348,3.575812553,0.09670131296
1.777888889,0.5857242323,-0.07752022697,3.575742373,0.09780959742
1.798080808,0.5857651508,-0.07839961611,3.575671397,0.09891779328
1.818272727,0.5858065303,-0.07927897048,3.575599625,0.1000258996
1.838464646,0.5858483707,-0.08015828969,3.575527056,0.1011339153
1.858656566,0.5858906718,-0.08103757336,3.575453692,0.1022418394
1.878848485,0.5859334336,-0.08191682113,3.575379531,0.103349671
1.899040404,0.5859766561,-0.08279603258,3.575304575,0.104457409
1.919232323,0.586020339,-0.08367520733,3.575228823,0.1055650525
1.939424242,0.5860644828,-0.08455434498,3.575152276,0.1066726004
1.959616162,0.586109087,-0.08543344518,3.575074934,0.1077800518
1.979808081,0.5861541515,-0.08631250751,3.574996798,0.1088874057
2,0.5861996768,-0.08719153158,3.574917866,0.1099946612
