kh,R_ref,R_memoire,R_instantane,T_ref,T_memoire,T_instantane,E_R_memoire,E_R_instantane,E_T_memoire,E_T_instantane
0.37,0.5312693128,0.5201659316,0.5186442873,0.8537670702,0.8609129695,0.858312421,0.02089972247,0.02376389001,0.008369846394,0.005323876831
0.38,0.5407151919,0.5290223333,0.5273914875,0.84839919,0.8560978325,0.8533689432,0.02162480135,0.02464089155,0.009074316294,0.005857800517
0.39,0.5499179487,0.5376322548,0.5358881208,0.843081343,0.8513500518,0.8484903319,0.02234095821,0.0255125841,0.009807723644,0.006415737952
0.4,0.558883193,0.5460022887,0.5441407883,0.8378191906,0.8466743553,0.8436813291,0.02304757864,0.02637832895,0.01056930277,0.006996901625
0.41,0.5676166303,0.5541390811,0.5521561469,0.8326179859,0.8420750228,0.8389462251,0.02374410543,0.02723754466,0.01135819443,0.007600411423
0.42,0.5761240321,0.5620493022,0.5599408793,0.8274825899,0.8375559077,0.8342888814,0.02443003441,0.02808970279,0.01217344983,0.008225298744
0.43,0.58441121,0.5697396192,0.567501667,0.8224174896,0.8331204592,0.8297127526,0.02510491005,0.02893432345,0.01301403453,0.008870510528
0.44,0.5924839913,0.5772166734,0.5748451673,0.8174268149,0.8287717447,0.8252209088,0.02576832124,0.02977097131,0.01387883234,0.009534913407
0.45,0.600348197,0.5844870593,0.5819779916,0.8125143574,0.824512472,0.8208160584,0.02641989724,0.03059925136,0.01476664923,0.0102172976
0.46,0.6080096228,0.5915573057,0.588906687,0.807683588,0.8203450113,0.8165005697,0.02705930382,0.03141880506,0.01567621708,0.01091638092
0.47,0.6154740213,0.5984338602,0.5956377205,0.8029376752,0.8162714167,0.8122764928,0.02768623938,0.03222930643,0.01660619739,0.01163081253
0.48,0.6227470864,0.6051230754,0.6021774646,0.7982795029,0.8122934471,0.8081455804,0.02830043115,0.03303045851,0.01755518488,0.01235917677
0.49,0.6298344398,0.6116311967,0.6085321859,0.793711688,0.8084125865,0.8041093085,0.02890163191,0.03382198969,0.01852171098,0.01309999673
0.5,0.6367416188,0.6179643527,0.6147080344,0.7892365976,0.8046300634,0.800168896,0.02948961651,0.03460365052,0.01950424731,0.01385173781
