z,mu_prime
0.02,0.1422477184
0.0450209205,0.1543948208
0.070041841,0.168552623
0.09506276151,0.1852622784
0.120083682,0.2052714041
0.1451046025,0.2296357727
0.170125523,0.2598813283
0.1951464435,0.2982662849
0.220167364,0.3482071015
0.2451882845,0.4149557866
0.270209205,0.5065778887
0.2952301255,0.6348903479
0.320251046,0.8141716913
0.3452719665,1.049421578
0.370292887,1.298818784
0.3953138075,1.438717492
0.420334728,1.371952184
0.4453556485,1.178632078
0.470376569,0.9912379138
0.4953974895,0.8636303753
0.52041841,0.7968527857
0.5454393305,0.7806163261
0.570460251,0.8081369613
0.5954811715,0.8789739575
0.6205020921,0.9988914247
0.6455230126,1.177201764
0.6705439331,1.414517067
0.6955648536,1.670702571
0.7205857741,1.851638737
0.7456066946,1.917212619
0.7706276151,1.961970395
0.7956485356,2.096565158
0.8206694561,2.381992645
0.8456903766,2.86399878
0.8707112971,3.601974474
0.8957322176,4.666162718
0.9207531381,6.109634521
0.9457740586,7.930161954
0.9707949791,9.857872707
0.9958158996,10.96423805
1.02083682,10.35037319
1.045857741,8.529841212
1.070878661,6.611801532
1.095899582,5.057777531
1.120920502,3.86583946
1.145941423,2.977872629
1.170962343,2.339220903
1.195983264,1.888141111
1.221004184,1.571955486
1.246025105,1.354362285
1.271046025,1.213780681
1.296066946,1.140125194
1.321087866,1.131424185
1.346108787,1.185890492
1.371129707,1.278354403
1.396150628,1.32713624
1.421171548,1.241098885
1.446192469,1.047047868
1.471213389,0.8424647682
1.49623431,0.6773085347
1.52125523,0.5549667485
1.546276151,0.465261494
1.571297071,0.3983019806
1.596317992,0.3470159139
1.621338912,0.306706202
1.646359833,0.2742800481
1.671380753,0.2476711245
1.696401674,0.2254670987
1.721422594,0.2066783765
1.746443515,0.1905945922
1.771464435,0.1766943009
1.796485356,0.1645870261
1.821506276,0.153975274
1.846527197,0.1446291124
1.871548117,0.1363688335
1.896569038,0.1290529379
1.921589958,0.1225697142
1.946610879,0.1168313138
1.971631799,0.1117696227
1.99665272,0.1073334862
2.02167364,0.1034870188
2.046694561,0.1002088662
2.071715481,0.09749239383
2.096736402,0.09534688955
2.121757322,0.09380000105
2.146778243,0.09290180731
2.171799163,0.09273119398
2.196820084,0.09340562595
2.221841004,0.09509610313
2.246861925,0.09805024568
2.271882845,0.1026284283
2.296903766,0.1093612661
2.321924686,0.1190424792
2.346945607,0.1328803324
2.371966527,0.152742917
2.396987448,0.1815360363
2.422008368,0.2236844132
2.447029289,0.2852800185
2.472050209,0.3718437851
2.49707113,0.4777653543
2.52209205,0.5645806896
2.547112971,0.5697230282
2.572133891,0.4874982064
2.597154812,0.3783731304
2.622175732,0.2859622677
2.647196653,0.2187662675
2.672217573,0.1718170319
2.697238494,0.1388654037
2.722259414,0.1152531252
2.747280335,0.09789666126
2.772301255,0.08480774012
2.797322176,0.07469724782
2.822343096,0.06671477602
2.847364017,0.0602872358
2.872384937,0.05501982588
2.897405858,0.05063471097
2.922426778,0.04693241466
2.947447699,0.04376703688
2.972468619,0.04103002402
2.99748954,0.03863933022
3.02251046,0.03653204239
3.047531381,0.03465927321
3.072552301,0.03298256598
3.097573222,0.03147132474
3.122594142,0.03010095098
3.147615063,0.02885147448
3.172635983,0.02770653496
3.197656904,0.02665261578
3.222677824,0.02567846105
3.247698745,0.02477462788
3.272719665,0.02393313917
3.297740586,0.02314721189
3.322761506,0.02241104281
3.347782427,0.02171963807
3.372803347,0.02106867672
3.397824268,0.02045440069
3.422845188,0.01987352537
3.447866109,0.01932316668
3.472887029,0.01880078105
3.49790795,0.01830411585
3.52292887,0.01783116821
3.547949791,0.01738015061
3.572970711,0.01694946207
3.597991632,0.01653766372
3.623012552,0.0161434583
3.648033473,0.01576567255
3.673054393,0.01540324228
3.698075314,0.01505519953
3.723096234,0.01472066154
3.748117155,0.0143988212
3.773138075,0.01408893877
3.798158996,0.01379033473
3.823179916,0.01350238345
3.848200837,0.01322450779
3.873221757,0.01295617418
3.898242678,0.01269688846
3.923263598,0.01244619209
3.948284519,0.01220365888
3.973305439,0.01196889198
3.99832636,0.01174152133
4.02334728,0.0115212013
4.048368201,0.0113076086
4.073389121,0.01110044041
4.098410042,0.01089941273
4.123430962,0.01070425882
4.148451883,0.01051472788
4.173472803,0.01033058379
4.198493724,0.01015160402
4.223514644,0.009977578615
4.248535565,0.009808309254
4.273556485,0.00964360844
4.298577406,0.009483298725
4.323598326,0.009327212017
4.348619247,0.009175188945
4.373640167,0.00902707827
4.398661088,0.008882736357
4.423682008,0.008742026674
4.448702929,0.00860481935
4.473723849,0.008470990746
4.49874477,0.008340423082
4.52376569,0.008213004071
4.548786611,0.008088626595
4.573807531,0.007967188397
4.598828452,0.007848591807
4.623849372,0.007732743467
4.648870293,0.007619554096
4.673891213,0.007508938261
4.698912134,0.007400814162
4.723933054,0.007295103439
4.748953975,0.007191730989
4.773974895,0.007090624791
4.798995816,0.006991715745
4.824016736,0.006894937523
