a_over_e,E_H1_proche,E_H1_lointain
0,0.4747744127,0.3816642057
0.1,0.4289642226,0.3434222657
0.2,0.3828211966,0.3047822015
0.3,0.3366709479,0.2659591502
0.4,0.2908867726,0.2271767326
0.5,0.2459237108,0.1886701232
0.6,0.202394824,0.1506969329
0.7,0.1612537224,0.1135739335
0.8,0.124256703,0.07781925469
0.9,0.09507819554,0.04492349126
1,0.08063577319,0.0240750328
1.1,0.08644974344,0.03872174686
1.2,0.1075399158,0.06717445626
1.3,0.1355211262,0.09664485726
1.4,0.1657142765,0.1253033378
1.5,0.1960670238,0.1527026169
1.6,0.2256532694,0.1786847532
1.7,0.2540275047,0.2031910274
1.8,0.2809707766,0.226210235
1.9,0.3063830998,0.2477593635
2,0.3302329127,0.2678742047
