a_over_e,E_H1_proche,E_H1_lointain
0,0.09498662757,0.09497450215
0.1,0.08674016298,0.08543667783
0.2,0.07863017263,0.07588873852
0.3,0.07071508615,0.06634036433
0.4,0.063076159,0.05680137136
0.5,0.05583009215,0.04728188247
0.6,0.04914830234,0.03779280068
0.7,0.043282842,0.02834728035
0.8,0.0385887173,0.01896661268
0.9,0.03550471378,0.009719812744
1,0.03442851379,0.002204281377
1.1,0.03549955855,0.009346511164
1.2,0.03849291897,0.01838171584
1.3,0.0429623382,0.02741989344
1.4,0.04845574103,0.03638917946
1.5,0.05462127989,0.04526971149
1.6,0.06121430634,0.05405071842
1.7,0.06807080759,0.06272429484
1.8,0.07508070305,0.07128384649
1.9,0.08216874387,0.07972357571
2,0.08928218632,0.0880382776
